thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,one_coin.started,no_resp_text.stopped,one_coin.stopped,feedback.stopped,correct,outcome,one_cross.started,one_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,three_coin.started,three_coin.stopped,three_cross.started,three_cross.stopped,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,8,0.9,-0.22,3.0,0.148,curv,curv_flat,0.0,0.0,-0.22,pen,input_data/stims/Shape_0.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,-1,up,0.6918426659976831,None,up,1.4844546660024207,None,None,None,['left'],[0.4072367070039036],[0.29190837500209454],up,0.9328874570055632,None,0,0,0,0,0,0,0,1,3.139886250006384,,0.6377257910062326,0.8431491660012398,0.8431491660012398,0.8431491660012398,1.544123750005383,up,0.6918426659976831,None,1.549631166002655,1.5942067910000333,1.5942067910000333,3.084248375002062,up,1.4844546660024207,None,3.1292723750011646,0.04499695899721701,4.063511708001897,4.063555375003489,4.103518375006388,4.713244583006599,4.710219291002431,4.710317125005531,0.00010233400098513812,6.194032125000376,6.195621958002448,6.308581458004483,6.308581458004483,6.308581458004483,6.308581458004483,6.308581458004483,6.308581458004483,6.308581458004483,7.244584708001639,"[0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06]",None,None,['left'],[0.4072367070039036],[0.29190837500209454],up,0.9328874570055632,None,7.2448337500027264,7.25019712500216,7.3742535000055796,7.366547708006692,7.366592541002319,7.3742535000055796,7.3742535000055796,7.874494666000828,7.874494666000828,7.866843791001884,1,1,,,,,,,,,,,,,,,,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
1,1,0,1,1,baseline,21,2.1,0.02,1.0,0.076,flat,flat_curv,0.0,0.0,-0.02,rew,input_data/stims/Shape_2.10_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,1,up,0.6918426659976831,None,up,1.4844546660024207,None,None,None,['right'],[0.5711226249986794],[0.11126929100282723],up,0.9171588329991209,None,0,0,0,0,0,1,1,0,7.874494666000828,,,,,,,,,,,,,,,,,7.867316250005388,0.00045708300604019314,8.750829250006063,8.750878916005604,8.789718291001918,9.32468058300583,9.317053916005534,9.317161291000957,0.00011129199992865324,10.800720958002785,10.80214579099993,10.882038833005936,10.882038833005936,10.882038833005936,10.882038833005936,10.882038833005936,10.882038833005936,10.882038833005936,11.802212833004887,"[0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148]",None,None,['right'],[0.5711226249986794],[0.11126929100282723],up,0.9171588329991209,None,11.802433875003771,11.80739262499992,11.931061000002956,11.92727625000407,11.927316958004667,11.931061000002956,,12.482010666004498,,12.460894541000016,0,-1,11.931061000002956,12.482010666004498,,,,,,,,,,,,,,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
0,0,0,2,1,curv_comp,73,2.3,0.06,3.0,-0.356,flat,flat_curv,-0.2,0.2,-0.06,rew,input_data/stims/Shape_2.30_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,-1.0,1.0,1,None,,,up,0.565275290995487,None,None,None,['right'],[0.49269699900469277],[0.9481704169957084],up,1.558425666000403,None,1,0,1,0,0,0,0,1,14.180325416004052,,13.544773000001442,,,,13.544814500004577,None,,,13.549065875005908,13.55344216600497,13.55344216600497,14.128214583004592,up,0.565275290995487,None,14.175231500004884,0.04699520800204482,15.209541083000659,15.209592375002103,15.249066041003971,15.763603583000076,15.760256208006467,15.760383625005488,0.00012966700160177425,17.193974291003542,17.19537562500045,17.256907000002684,17.256907000002684,17.256907000002684,17.256907000002684,17.256907000002684,17.256907000002684,17.256907000002684,18.81929483300337,"[-0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.348, -0.34, -0.332, -0.324, -0.316, -0.308, -0.3, -0.292, -0.284, -0.276, -0.268, -0.26, -0.252, -0.244, -0.236, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.18, 0.188, 0.196, 0.204, 0.212, 0.22, 0.228, 0.236, 0.244, 0.252, 0.26, 0.268, 0.276, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284]",None,None,['right'],[0.49269699900469277],[0.9481704169957084],up,1.558425666000403,None,18.81956262500171,18.824375666001288,18.947792166,18.94401479100634,18.944064291004906,18.947792166,,19.449547250005708,,19.44529925000097,0,-1,18.947792166,19.449547250005708,12.478386624999985,12.482010666004498,12.482010666004498,13.544579208006326,0,0,up,1.0576848329947097,None,,,,,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
1,1,0,2,1,curv_comp,67,1.7,-0.06,3.0,-0.356,flat,flat_curv,-0.2,0.2,0.06,rew,input_data/stims/Shape_1.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,-1.0,1.0,1,None,,,up,0.565275290995487,None,None,None,"['right', 'right']","[0.4377574160025688, 1.3782452490049764]","[0.627984541002661, 0.3041579169948818]",up,1.758022665999306,None,1,0,1,0,0,1,1,0,19.449547250005708,,,,,,,,,,,,,,,,,19.445737833004387,0.0004323329994804226,20.47933845800435,20.479391166001733,20.517706166006974,21.041484583001875,21.033822083001724,21.033950208002352,0.00013204100105213001,22.31760841600044,22.318934291004553,22.376697250001598,22.376697250001598,22.376697250001598,22.376697250001598,22.376697250001598,22.376697250001598,22.376697250001598,24.139528333005728,"[-0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.348, -0.34, -0.332, -0.324, -0.316, -0.308, -0.3, -0.292, -0.284, -0.276, -0.268, -0.26, -0.252, -0.244, -0.236, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.18, 0.188, 0.196, 0.204, 0.212, 0.22, 0.228, 0.236, 0.244, 0.252, 0.252, 0.252, 0.252, 0.252, 0.252, 0.252, 0.252, 0.252]",None,None,"['right', 'right']","[0.4377574160025688, 1.3782452490049764]","[0.627984541002661, 0.3041579169948818]",up,1.758022665999306,None,24.139824750003754,24.14601879100519,24.274685416006832,24.266433583004982,24.266480708000017,24.274685416006832,,24.78218820800248,,24.76753783300228,0,-1,24.274685416006832,24.78218820800248,,,,,,,,,,,,,,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
0,0,0,3,1,flat_comp,109,3.5,0.3,3.0,0.228,flat,flat_curv,0.2,-0.2,-0.3,rew,input_data/stims/Shape_3.50_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,1.0,1,None,,,up,0.4305698320022202,None,None,None,['left'],[0.35650841599999694],[0.7160081670008367],up,1.1170984160053195,None,2,0,2,0,0,0,0,1,25.625654458002828,,25.128402583002753,,,,25.12843587500538,None,,,25.13147883300553,25.137144083004387,25.137144083004387,25.57823825000378,up,0.4305698320022202,None,25.620650250006292,0.04239341699576471,26.655155625005136,26.65521887500654,26.688420958002098,27.2082875000051,27.2007900000026,27.200899082999968,0.0001131249955506064,28.53454954100016,28.535920791000535,28.591805250005564,28.591805250005564,28.591805250005564,28.591805250005564,28.591805250005564,28.591805250005564,28.591805250005564,29.7126461250009,"[0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.228, 0.22, 0.212, 0.204, 0.196, 0.188, 0.18, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.236, -0.244, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252]",None,None,['left'],[0.35650841599999694],[0.7160081670008367],up,1.1170984160053195,None,29.7128831250011,29.717596166003204,29.84141037500376,29.833110416002455,29.833157333006966,29.84141037500376,,30.340969875003793,,30.33531850000145,1,3,,,24.779091291005898,24.78218820800248,24.78218820800248,25.12824679100595,-2,0,up,0.34249399899999844,None,29.84141037500376,30.340969875003793,,,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
1,1,0,3,1,flat_comp,81,1.1,-0.18,1.0,0.268,curv,flat_curv,0.2,-0.2,0.18,pen,input_data/stims/Shape_1.10_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,-1,None,,,up,0.4305698320022202,None,None,None,['left'],[0.34292974900017725],[0.7801247500028694],up,1.178125040998566,None,2,0,2,0,0,1,1,0,30.340969875003793,,,,,,,,,,,,,,,,,30.335799750006117,0.0004734169997391291,31.269339916005265,31.269396540999878,31.30616945800284,31.81342445800692,31.810376583001926,31.810468540999864,9.804100409382954e-05,33.24409637500503,33.245426833003876,33.30073966600321,33.30073966600321,33.30073966600321,33.30073966600321,33.30073966600321,33.30073966600321,33.30073966600321,34.48539091600105,"[0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.268, 0.26, 0.252, 0.244, 0.236, 0.228, 0.22, 0.212, 0.204, 0.196, 0.188, 0.18, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.236, -0.244, -0.252, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26]",None,None,['left'],[0.34292974900017725],[0.7801247500028694],up,1.178125040998566,None,34.48572687500564,34.491761458004476,34.61597154100309,34.61130475000391,34.61135929100419,34.61597154100309,,35.124224250001134,,35.111006582999835,0,-3,,,,,,,,,,,,,,34.61597154100309,35.124224250001134,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
0,0,0,4,2,baseline,135,1.5,-0.1,1.0,0.288,curv,flat_curv,0.0,0.0,0.1,rew,input_data/stims/Shape_1.50_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,-1,up,0.8176234989950899,None,up,1.3526371659972938,None,None,None,None,,,up,0.6994617910022498,None,3,0,3,0,0,0,0,1,38.32659170800616,,36.08235470799991,36.09005620800599,36.09005620800599,36.09005620800599,36.912279000003764,up,0.8176234989950899,None,36.916210708004655,36.922854958000244,36.922854958000244,38.27835100000084,up,1.3526371659972938,None,38.3216005830036,0.04323104200011585,39.25575600000593,39.255803666004795,39.28370983300556,39.796687791000295,39.79370395800652,39.79379858300672,0.00010024999937741086,41.277366666006856,41.27885704100481,41.3540885830007,41.3540885830007,41.3540885830007,41.3540885830007,41.3540885830007,41.3540885830007,41.3540885830007,42.061820708004234,"[0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288]",None,None,None,,,up,0.6994617910022498,None,42.06200183300098,42.06714333300624,42.1978583750024,42.18357166600617,42.19332650000433,42.1978583750024,,42.69770108300145,,42.694226333005645,0,-1,42.1978583750024,42.69770108300145,35.120520208001835,35.124224250001134,35.124224250001134,35.600845833003405,0,1,up,0.47065545700024813,None,,,,,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
1,1,0,4,2,baseline,150,3.1,0.22,3.0,0.032,flat,curv_flat,0.0,0.0,0.22,pen,input_data/stims/Shape_3.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,1,up,0.8176234989950899,None,up,1.3526371659972938,None,None,None,['left'],[0.5368302079950809],[0.15202070800296497],up,0.9602532079952653,None,3,0,3,0,0,1,1,0,42.69770108300145,,,,,,,,,,,,,,,,,42.69461579100607,0.00038116699579404667,43.57817816600436,43.57823758300219,43.61001275000308,44.12488254100026,44.11742670800595,44.117530458002875,0.00010979099897667766,45.551163208001526,45.552603583004384,45.6074273330014,45.6074273330014,45.6074273330014,45.6074273330014,45.6074273330014,45.6074273330014,45.6074273330014,46.570581416002824,"[0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072]",None,None,['left'],[0.5368302079950809],[0.15202070800296497],up,0.9602532079952653,None,46.570810458004416,46.57570183300413,46.700606833001075,46.69506970800285,46.695717958005844,46.700606833001075,,47.20828741600417,,47.19458220800152,0,-3,,,,,,,,,,,,,,46.700606833001075,47.20828741600417,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
0,0,0,6,2,flat_comp,234,3.7,0.34,3.0,0.224,flat,curv_flat,0.2,0.2,0.34,pen,input_data/stims/Shape_3.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,1,None,,,up,0.5842686239993782,None,None,None,['left'],[0.5125620819962933],[0.13598058400384616],up,0.8774394989959546,None,4,0,4,0,0,0,0,0,48.45926491600403,,47.812726375006605,,,,47.81276466600684,None,,,47.817796750001435,47.8227662910067,47.8227662910067,48.41171058300097,up,0.5842686239993782,None,48.45444012500229,0.042710125002486166,49.53878995800187,49.53884087500046,49.57002608300536,50.113568416003545,50.11056450000615,50.110677708005824,0.00011891699978150427,51.494291333001456,51.495565833,51.552417333004996,51.552417333004996,51.552417333004996,51.552417333004996,51.552417333004996,51.552417333004996,51.552417333004996,52.43637591600418,"[0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12]",None,None,['left'],[0.5125620819962933],[0.13598058400384616],up,0.8774394989959546,None,52.436589458004164,52.44175691600685,52.56546595800319,52.56124483300664,52.561286083000596,52.56546595800319,,53.06453420800244,,53.06128158300271,0,-3,,,47.20468454100046,47.20828741600417,47.20828741600417,47.812556708006014,-4,0,up,0.6023298740037717,None,,,52.56546595800319,53.06453420800244,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
1,1,0,6,2,flat_comp,213,2.3,0.06,3.0,0.392,curv,flat_curv,0.2,-0.2,-0.06,rew,input_data/stims/Shape_2.30_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,1.0,-1,None,,,up,0.5842686239993782,None,None,None,['left'],[0.4764034990002983],[0.41594925000390504],up,1.0572357490018476,None,4,0,4,0,0,1,1,1,53.06453420800244,,,,,,,,,,,,,,,,,53.06164150000404,0.0003541249971021898,54.14529658300307,54.145361041002616,54.1775827080055,54.69177083300019,54.684400833000836,54.6845056250022,0.0001096660053008236,55.96808245800639,55.96937829100352,56.03150541600189,56.03150541600189,56.03150541600189,56.03150541600189,56.03150541600189,56.03150541600189,56.03150541600189,57.09547583300446,"[0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.384, 0.376, 0.368, 0.36, 0.352, 0.344, 0.336, 0.328, 0.32, 0.312, 0.304, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112]",None,None,['left'],[0.4764034990002983],[0.41594925000390504],up,1.0572357490018476,None,57.09570354100288,57.10032808300457,57.22527804100537,57.21675133300596,57.216799500005436,57.22527804100537,,57.73055704100261,,57.71707204100676,1,3,,,,,,,,,,,,57.22527804100537,57.73055704100261,,,,1,A,2026-03-31_19h53.09.675,valence_final_v2,2024.2.4,60,2026-03-31 19h53.20.191426 -0400,
