thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_coin.started,no_resp_text.stopped,three_coin.stopped,feedback.stopped,correct,outcome,three_cross.started,three_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,one_coin.started,one_coin.stopped,one_cross.started,one_cross.stopped,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,4,2,baseline,135,1.5,-0.1,1.0,0.288,curv,flat_curv,0.0,0.0,0.1,rew,input_data/stims/Shape_1.50_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,-1,up,1.1333387490012683,None,up,0.7807948330009822,None,None,None,['left'],[1.035302040996612],[0.14318774999992456],up,1.4458664989942918,None,0,0,0,0,0,0,0,0,2.9128897080008755,,0.647908874998393,0.8600643329991726,0.8600643329991726,0.8600643329991726,1.9997498750017257,up,1.1333387490012683,None,2.0057323750006617,2.0660574159992393,2.0660574159992393,2.8498637079974287,up,0.7807948330009822,None,2.900078457998461,0.05019245800212957,3.9343889160008985,3.9344594159992994,3.9788072079973063,4.49657441599993,4.4888137910020305,4.488934540997434,0.00013737500557908788,5.922470790996158,5.923959125000692,6.006312874997093,6.006312874997093,6.006312874997093,6.006312874997093,6.006312874997093,6.006312874997093,6.006312874997093,7.457952582997677,"[0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184]",None,None,['left'],[1.035302040996612],[0.14318774999992456],up,1.4458664989942918,None,7.458253457996761,7.463822707999498,7.590889624996635,7.5838624160023755,7.583916625000711,7.590889624996635,7.590889624996635,8.229966457998671,8.229966457998671,8.221615208000003,1,3,,,,,,,,,,,,,,,,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
1,1,0,4,2,baseline,150,3.1,0.22,3.0,0.032,flat,curv_flat,0.0,0.0,0.22,pen,input_data/stims/Shape_3.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,1,up,1.1333387490012683,None,up,0.7807948330009822,None,None,None,['left'],[0.5602426240002387],[0.23924041700229282],up,0.9461837909984752,None,0,0,0,0,0,1,1,1,8.229966457998671,,,,,,,,,,,,,,,,,8.222043707995908,0.0004128340005991049,9.255627999998978,9.255676790999132,9.28650487500272,9.829199665997294,9.823869250001735,9.823971749996417,0.000106333005533088,11.307468874998449,11.308701499998278,11.366522124997573,11.366522124997573,11.366522124997573,11.366522124997573,11.366522124997573,11.366522124997573,11.366522124997573,12.316399666000507,"[0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.08, -0.088, -0.096, -0.104, -0.112, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12, -0.12]",None,None,['left'],[0.5602426240002387],[0.23924041700229282],up,0.9461837909984752,None,12.31661124999664,12.321191791001183,12.447215374995722,12.441690082996502,12.44173941599729,12.447215374995722,,13.174003540996637,,13.149717374995816,0,-3,12.447215374995722,13.174003540996637,,,,,,,,,,,,,,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
0,0,0,5,2,curv_comp,186,1.7,-0.06,1.0,-0.288,flat,curv_flat,-0.2,-0.2,-0.06,pen,input_data/stims/Shape_1.70_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,1,None,,,up,0.7181180409970693,None,None,None,['right'],[0.5016130410003825],[0.2319301669995184],up,0.8669488329978776,None,1,0,1,0,0,0,0,1,14.553597790996719,,13.7725909159999,,,,13.772623666001891,None,,,13.776808791000803,13.784411374996125,13.784411374996125,14.505779708000773,up,0.7181180409970693,None,14.54871579099563,0.04291250000096625,15.533095040998887,15.533145875000628,15.576415832998464,16.08507179099979,16.082048040996597,16.082141915998363,9.708300058264285e-05,17.56565574999695,17.566900541001814,17.62998562499706,17.62998562499706,17.62998562499706,17.62998562499706,17.62998562499706,17.62998562499706,17.62998562499706,18.501467415997467,"[-0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.28, -0.272, -0.264, -0.256, -0.248, -0.24, -0.232, -0.224, -0.216, -0.208, -0.2, -0.192, -0.184, -0.176, -0.168, -0.16, -0.152, -0.144, -0.136, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128]",None,None,['right'],[0.5016130410003825],[0.2319301669995184],up,0.8669488329978776,None,18.50170395799796,18.50658512499649,18.629994208000426,18.621838958002627,18.621890165995865,18.629994208000426,,19.12997916599852,,19.121958957999595,1,1,,,13.170110040999134,13.174003540996637,13.174003540996637,13.772428958000091,0,0,up,0.5940655829981552,None,18.629994208000426,19.12997916599852,,,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
1,1,0,5,2,curv_comp,175,0.7,-0.26,3.0,0.364,curv,flat_curv,-0.2,0.2,0.26,rew,input_data/stims/Shape_0.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,1.0,-1,None,,,up,0.7181180409970693,None,None,None,['left'],[0.5248237490013707],[0.31562149999808753],up,0.9880768740040367,None,1,0,1,0,0,1,1,0,19.12997916599852,,,,,,,,,,,,,,,,,19.122372165998968,0.00040537500171922147,20.155882375001966,20.15592695799569,20.192104290996213,20.72021287499956,20.716554665996227,20.716705416001787,0.00015474999963771552,22.050218958000187,22.051407082995865,22.112867625000945,22.112867625000945,22.112867625000945,22.112867625000945,22.112867625000945,22.112867625000945,22.112867625000945,23.10896220799623,"[0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.364, 0.356, 0.348, 0.34, 0.332, 0.324, 0.316, 0.308, 0.3, 0.292, 0.284, 0.276, 0.268, 0.26, 0.252, 0.244, 0.236, 0.228, 0.22, 0.212, 0.204, 0.196, 0.188, 0.18, 0.172, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164]",None,None,['left'],[0.5248237490013707],[0.31562149999808753],up,0.9880768740040367,None,23.109181874999194,23.130040374999226,23.26311591600097,23.255258290999336,23.25530274999619,23.26311591600097,,23.76265245799732,,23.75529866600118,0,-1,,,,,,,,,,,,,,23.26311591600097,23.76265245799732,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
0,0,0,6,2,flat_comp,222,3.1,0.22,1.0,0.168,flat,curv_flat,0.2,0.2,0.22,pen,input_data/stims/Shape_3.10_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,1,None,,,up,0.48580520800169325,None,None,None,None,,,up,0.2686313330050325,None,2,0,2,0,0,0,0,1,24.866036291001365,,24.31703054100217,,,,24.317062000001897,None,,,24.320020499995735,24.32534808300261,24.32534808300261,24.817423790998873,up,0.48580520800169325,None,24.860173624998424,0.042730666005809326,25.894356707998668,25.89440312499937,25.920937165996293,26.429788749999716,26.422879416000796,26.423011624996434,0.00013054099690634757,27.80664212499687,27.80812591600261,27.864709000001312,27.864709000001312,27.864709000001312,27.864709000001312,27.864709000001312,27.864709000001312,27.864709000001312,28.14145458299754,"[0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168, 0.168]",None,None,None,,,up,0.2686313330050325,None,28.141622707997158,28.146567415999016,28.283485583000584,28.266521666002518,28.278242832995602,28.283485583000584,,28.786375290997967,,28.782802082998387,0,-3,28.283485583000584,28.786375290997967,23.757110874998034,23.76265245799732,23.76265245799732,24.316886540997075,0,0,up,0.5466418740033987,None,,,,,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
1,1,0,6,2,flat_comp,207,1.7,-0.06,1.0,0.296,curv,flat_curv,0.2,-0.2,0.06,rew,input_data/stims/Shape_1.70_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,-1,None,,,up,0.48580520800169325,None,None,None,None,,,up,0.075878665993514,None,2,0,2,0,0,1,1,0,28.786375290997967,,,,,,,,,,,,,,,,,28.783247457999096,0.00043354200170142576,29.816835541001637,29.816894999996293,29.856663999999,30.36847499999567,30.36546241599717,30.365559457997733,0.0001008749968605116,31.849080749998393,31.850349665997783,31.915389916001004,31.915389916001004,31.915389916001004,31.915389916001004,31.915389916001004,31.915389916001004,31.915389916001004,31.99285399999644,"[0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296]",None,None,None,,,up,0.075878665993514,None,31.992988291000074,32.01378304100217,32.14685766599723,32.13835079099954,32.138392749999184,32.14685766599723,,32.65224541600037,,32.63857658299821,0,-1,,,,,,,,,,,,,,32.14685766599723,32.65224541600037,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
0,0,0,1,1,baseline,38,3.9,0.38,3.0,-0.008,flat,curv_flat,0.0,0.0,0.38,rew,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,1.0,1,up,1.1357836660026805,None,up,0.45208145800279453,None,None,None,['right'],[0.723499707004521],[0.14027079199877335],up,1.088100207001844,None,3,0,3,0,0,0,0,0,35.10177933299565,,33.427334125000925,33.43769116600015,33.43769116600015,33.43769116600015,34.583002833001956,up,1.1357836660026805,None,34.58630508300121,34.59172912500071,34.59172912500071,35.049855500001286,up,0.45208145800279453,None,35.09681291600282,0.04693937499541789,36.130956708002486,36.13100708300044,36.17407737499889,36.685151790996315,36.6821375829968,36.68223229100113,9.833299554884434e-05,38.06585754099797,38.067327290998946,38.14117437499954,38.14117437499954,38.14117437499954,38.14117437499954,38.14117437499954,38.14117437499954,38.14117437499954,39.23347516600188,"[-0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.04, 0.048, 0.056, 0.064, 0.072, 0.08, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088]",None,None,['right'],[0.723499707004521],[0.14027079199877335],up,1.088100207001844,None,39.23371549999865,39.238287082996976,39.36278958299954,39.35632804100169,39.35696345799806,39.36278958299954,39.36278958299954,39.863669665995985,39.863669665995985,39.85828358300205,1,3,,,32.64961058300105,32.65224541600037,32.65224541600037,32.91676691600151,-4,0,up,0.2620109580020653,None,,,,,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
1,1,0,1,1,baseline,12,1.3,-0.14,1.0,-0.06,curv,curv_flat,0.0,0.0,-0.14,pen,input_data/stims/Shape_1.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,-1,up,1.1357836660026805,None,up,0.45208145800279453,None,None,None,['right'],[0.4767606249952223],[0.1919488750063465],up,0.8099807499966118,None,3,0,3,0,0,1,1,1,39.863669665995985,,,,,,,,,,,,,,,,,39.85868008300167,0.00038958300137892365,40.74220554099884,40.742258624995884,40.780775915998674,41.28036945799977,41.27307666600245,41.273181874996226,0.0001083329989342019,42.75671875000262,42.758067582995864,42.83661562499765,42.83661562499765,42.83661562499765,42.83661562499765,42.83661562499765,42.83661562499765,42.83661562499765,43.650193957997544,"[-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084]",None,None,['right'],[0.4767606249952223],[0.1919488750063465],up,0.8099807499966118,None,43.65040241600218,43.65506083299988,43.77977579100116,43.77287945799617,43.77292779099662,43.77977579100116,,44.29304512499948,,44.27592249999725,0,-3,43.77977579100116,44.29304512499948,,,,,,,,,,,,,,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
0,0,0,3,1,flat_comp,80,1.1,-0.18,3.0,0.328,curv,curv_flat,0.2,0.2,-0.18,pen,input_data/stims/Shape_1.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,-1,None,,,up,0.4673885829979554,None,None,None,['left'],[0.6053255000006175],[0.3038297499952023],up,1.000394040995161,None,4,0,4,0,0,0,0,1,45.2147657500027,,44.68378987500182,,,,44.68382104099874,None,,,44.68802429099742,44.692208624997875,44.692208624997875,45.16671854099695,up,0.4673885829979554,None,45.209857916001056,0.04312066700367723,46.29410225000174,46.294146250002086,46.32630216600228,46.85205145800137,46.849005707998,46.849096790996555,9.59169992711395e-05,48.282615249998344,48.28380470800039,48.33838441599801,48.33838441599801,48.33838441599801,48.33838441599801,48.33838441599801,48.33838441599801,48.33838441599801,49.34281029099657,"[0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.328, 0.32, 0.312, 0.304, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104]",None,None,['left'],[0.6053255000006175],[0.3038297499952023],up,1.000394040995161,None,49.34302524999657,49.34780545799731,49.470103207997454,49.466280832995835,49.46632191599929,49.470103207997454,,49.97010066599614,,49.96658570799627,1,1,,,44.2887494999959,44.29304512499948,44.29304512499948,44.68364591599675,0,0,up,0.38263637400086736,None,49.470103207997454,49.97010066599614,,,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
1,1,0,3,1,flat_comp,92,2.3,0.06,1.0,0.388,curv,curv_flat,0.2,0.2,0.06,pen,input_data/stims/Shape_2.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,-1.0,-1,None,,,up,0.4673885829979554,None,None,None,['left'],[0.5137714160009637],[0.3202790420036763],up,1.0087358330056304,None,4,0,4,0,0,1,1,0,49.97010066599614,,,,,,,,,,,,,,,,,49.966947957997036,0.0003561249977792613,51.05054883300181,51.05059241600247,51.07853087499825,51.58053995799855,51.57277958300256,51.57288191599946,0.00010541700612520799,52.85650916599843,52.85776220799744,52.91894612499891,52.91894612499891,52.91894612499891,52.91894612499891,52.91894612499891,52.91894612499891,52.91894612499891,53.933645582998,"[0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.388, 0.38, 0.372, 0.364, 0.356, 0.348, 0.34, 0.332, 0.324, 0.316, 0.308, 0.3, 0.292, 0.284, 0.276, 0.268, 0.26, 0.252, 0.244, 0.236, 0.228, 0.22, 0.212, 0.204, 0.196, 0.188, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18]",None,None,['left'],[0.5137714160009637],[0.3202790420036763],up,1.0087358330056304,None,53.93386187499709,53.93847091600037,54.06383562499832,54.055711332999635,54.05575858299562,54.06383562499832,,54.56810741600202,,54.555203791001986,1,1,,,,,,,,,,,,54.06383562499832,54.56810741600202,,,,1,B,2026-03-31_19h49.10.279,valence_final_v2,2024.2.4,60,2026-03-31 19h49.19.806782 -0400,
