thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,one_coin.started,no_resp_text.stopped,one_coin.stopped,feedback.stopped,correct,outcome,one_cross.started,one_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,three_cross.started,three_cross.stopped,three_coin.started,three_coin.stopped,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,16,1.7,-0.06,1.0,0.288,curv,curv_flat,0.0,0.0,-0.06,pen,input_data/stims/Shape_1.70_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,-1.0,-1,up,3.156306582997786,None,up,0.6173347079966334,None,None,None,['left'],[0.9531906659976812],[0.4920832919960958],up,1.5823246660002042,None,0,0,0,0,0,0,0,1,4.7527517919952516,,0.6482390419987496,0.8677869169987389,0.8677869169987389,0.8677869169987389,4.031135249999352,up,3.156306582997786,None,4.036838957996224,4.078134124996723,4.078134124996723,4.698385124997003,up,0.6173347079966334,None,4.7422857499987,0.043877707998035476,5.776554291995126,5.776599291995808,5.815983207998215,6.350111332998495,6.3470862499962095,6.34718824999436,0.00010683400614652783,7.730739832994004,7.732088166994799,7.807395291994908,7.807395291994908,7.807395291994908,7.807395291994908,7.807395291994908,7.807395291994908,7.807395291994908,9.398296624996874,"[0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072]",None,None,['left'],[0.9531906659976812],[0.4920832919960958],up,1.5823246660002042,None,9.398582333000377,9.403899917000672,9.527700624996214,9.520560041994031,9.520604375000403,9.527700624996214,9.527700624996214,10.028260291997867,10.028260291997867,10.02053262499976,1,1,,,,,,,,,,,,,,,,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
1,1,0,1,1,baseline,37,3.7,0.34,1.0,0.164,flat,flat_curv,0.0,0.0,-0.34,rew,input_data/stims/Shape_3.70_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,1,up,3.156306582997786,None,up,0.6173347079966334,None,None,None,['left'],[0.7095799160015304],[0.07535304100019857],up,1.0183654569991631,None,0,0,0,0,0,1,1,0,10.028260291997867,,,,,,,,,,,,,,,,,10.02093016699655,0.0003717079962370917,10.954483541994705,10.954535166994901,11.004192124994006,11.511631666995527,11.504000707995147,11.504103874998691,0.00010783300240291283,12.887707666995993,12.88905362499645,12.947052749994327,12.947052749994327,12.947052749994327,12.947052749994327,12.947052749994327,12.947052749994327,12.947052749994327,13.972910541997408,"[0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108]",None,None,['left'],[0.7095799160015304],[0.07535304100019857],up,1.0183654569991631,None,13.973146917000122,13.97794591699494,14.102517166997131,14.098357582995959,14.098401457995351,14.102517166997131,,14.622929207995185,,14.598482999994303,0,-1,14.102517166997131,14.622929207995185,,,,,,,,,,,,,,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
0,0,0,3,1,flat_comp,90,2.1,0.02,3.0,0.112,curv,curv_flat,0.2,0.2,0.02,pen,input_data/stims/Shape_2.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,1.0,-1,None,,,up,0.9309398319965112,None,None,None,['right'],[0.48600141600036295],[0.17996845800371375],up,0.8660151240037521,None,1,0,1,0,0,0,0,1,15.996361416997388,,14.998755000000529,,,,14.998784999996133,None,,,15.002943082996353,15.007567749998998,15.007567749998998,15.94842591699853,up,0.9309398319965112,None,15.991518541995902,0.04307150000386173,17.025818832997174,17.02586587499536,17.054458624996187,17.56189162499504,17.5539480419975,17.55405095799506,0.00010712500079534948,18.937667707999935,18.939096750000317,18.997605874996225,18.997605874996225,18.997605874996225,18.997605874996225,18.997605874996225,18.997605874996225,18.997605874996225,19.864947750000283,"[0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.12, 0.128, 0.136, 0.144, 0.152, 0.16, 0.168, 0.176, 0.184, 0.192, 0.2, 0.208, 0.216, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224, 0.224]",None,None,['right'],[0.48600141600036295],[0.17996845800371375],up,0.8660151240037521,None,19.86515700000018,19.868455499999982,19.994899541998166,19.98690016699402,19.986944917000073,19.994899541998166,,20.49515341699589,,20.486509874994226,0,-3,,,14.618817332993785,14.622929207995185,14.622929207995185,14.998606916997232,0,1,up,0.36371958300151164,None,19.994899541998166,20.49515341699589,,,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
1,1,0,3,1,flat_comp,119,3.9,0.38,3.0,0.008,flat,flat_curv,0.2,-0.2,-0.38,rew,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,1.0,1,None,,,up,0.9309398319965112,None,None,None,['left'],[0.5011087069942732],[0.4162100419998751],up,1.0457957909966353,None,1,0,1,0,0,1,1,0,20.49515341699589,,,,,,,,,,,,,,,,,20.486879666997993,0.0003638339985627681,21.42128670799866,21.421333416998095,21.451407624997955,21.95060150000063,21.947528291995695,21.94764029199723,0.00011379200441297144,23.331253666998236,23.332476666997536,23.409154417000536,23.409154417000536,23.409154417000536,23.409154417000536,23.409154417000536,23.409154417000536,23.409154417000536,24.45632220799598,"[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.08, -0.088, -0.096, -0.104, -0.112, -0.12, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.248, -0.256, -0.264, -0.272, -0.28, -0.288, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296, -0.296]",None,None,['left'],[0.5011087069942732],[0.4162100419998751],up,1.0457957909966353,None,24.456546417000936,24.46116633299971,24.58782895799959,24.582565917000466,24.58261912499438,24.58782895799959,,25.09400574999745,,25.080521707997832,1,3,,,,,,,,,,,,,,24.58782895799959,25.09400574999745,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
0,0,0,2,1,curv_comp,62,1.3,-0.14,3.0,-0.204,flat,curv_flat,-0.2,-0.2,-0.14,rew,input_data/stims/Shape_1.30_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,1.0,1,None,,,up,0.4773260410001967,None,None,None,None,,,up,0.22109849999833386,None,2,0,2,0,0,0,0,1,26.06941279199964,,25.53212333299598,,,,25.532156417000806,None,,,25.535311666993948,25.540739707998,25.540739707998,26.02098841699626,up,0.4773260410001967,None,26.06450274999952,0.043491790995176416,27.149013457994442,27.149056082998868,27.17809558299632,27.75389083299524,27.750238499997067,27.750372666996554,0.000140708994877059,29.085055666997505,29.086241958000755,29.14779712499876,29.14779712499876,29.14779712499876,29.14779712499876,29.14779712499876,29.14779712499876,29.14779712499876,29.372862707998138,"[-0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204]",None,None,None,,,up,0.22109849999833386,None,29.37301574999583,29.378147791998344,29.512183332997665,29.49812362499506,29.507971708000696,29.512183332997665,,30.04524699999456,,30.037400832996354,0,-1,29.512183332997665,30.04524699999456,25.090330166996864,25.09400574999745,25.09400574999745,25.531963124994945,0,0,up,0.4345371250019525,None,,,,,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
1,1,0,2,1,curv_comp,50,0.5,-0.3,1.0,-0.364,curv,curv_flat,-0.2,-0.2,-0.3,pen,input_data/stims/Shape_0.50_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,-1,None,,,up,0.4773260410001967,None,None,None,None,,,up,0.15698516599513823,None,2,0,2,0,0,1,1,0,30.04524699999456,,,,,,,,,,,,,,,,,30.037863291996473,0.0004491669969866052,31.02269683299528,31.02275974999793,31.059427624997625,31.56123587500042,31.555808499993873,31.55592404199706,0.00011929200263693929,32.9435556249955,32.94497291699372,33.001780541999324,33.001780541999324,33.001780541999324,33.001780541999324,33.001780541999324,33.001780541999324,33.001780541999324,33.165263749993755,"[-0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364]",None,None,None,,,up,0.15698516599513823,None,33.16541687499557,33.170208457995614,33.29457458300021,33.28835395799979,33.2884026249958,33.29457458300021,,33.80119116699643,,33.78708962499513,0,-3,,,,,,,,,,,,33.29457458300021,33.80119116699643,,,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
0,0,0,4,2,baseline,132,1.3,-0.14,3.0,-0.068,curv,curv_flat,0.0,0.0,-0.14,rew,input_data/stims/Shape_1.30_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,1.0,-1,up,0.34762641599809285,None,up,0.6142005829970003,None,None,None,['left'],[0.7478115819976665],[0.11200516700046137],up,1.0038687069973093,None,3,0,3,0,0,0,0,0,35.747416041995166,,34.71022316699964,34.71769441699871,34.71769441699871,34.71769441699871,35.0720117919991,up,0.34762641599809285,None,35.075052332998894,35.08277187500062,35.08277187500062,35.69842383299692,up,0.6142005829970003,None,35.74234674999752,0.043903417004912626,36.62677266699757,36.62682137500087,36.65286812499835,37.1671087499999,37.16407804199844,37.16418062499724,9.73330024862662e-05,38.647844708000775,38.649209707997215,38.700211082999886,38.700211082999886,38.700211082999886,38.700211082999886,38.700211082999886,38.700211082999886,38.700211082999886,39.7066474999956,"[-0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14]",None,None,['left'],[0.7478115819976665],[0.11200516700046137],up,1.0038687069973093,None,39.70688374999736,39.71200474999932,39.83609366699966,39.831195416998526,39.831782499997644,39.83609366699966,,40.33598841699859,,40.33205820799776,1,3,,,33.79833174999658,33.80119116699643,33.80119116699643,34.24846866699954,-4,0,up,0.4389739580001333,None,,,39.83609366699966,40.33598841699859,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
1,1,0,4,2,baseline,149,2.9,0.18,1.0,0.296,flat,flat_curv,0.0,0.0,-0.18,pen,input_data/stims/Shape_2.90_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,1,up,0.34762641599809285,None,up,0.6142005829970003,None,None,None,['left'],[0.7127989569999045],[0.11999741699401056],up,0.9536253319965908,None,3,0,3,0,0,1,1,1,40.33598841699859,,,,,,,,,,,,,,,,,40.33243295799912,0.0003681250018416904,41.416983916999015,41.41704483299691,41.453514666995034,41.978648457996314,41.971259582998755,41.9713907080004,0.00013616700016427785,43.2549941249963,43.256275332998484,43.31691899999714,43.31691899999714,43.31691899999714,43.31691899999714,43.31691899999714,43.31691899999714,43.31691899999714,44.273094582997146,"[0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208, 0.208]",None,None,['left'],[0.7127989569999045],[0.11999741699401056],up,0.9536253319965908,None,44.2733301249973,44.2784166249985,44.40190574999724,44.398173041998234,44.398214207998535,44.40190574999724,,44.91252499999973,,44.89830174999952,0,-3,,,,,,,,,,,,44.40190574999724,44.91252499999973,,,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
0,0,0,5,2,curv_comp,180,1.1,-0.18,3.0,0.4,flat,curv_flat,-0.2,-0.2,-0.18,pen,input_data/stims/Shape_1.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,1,None,,,up,0.45898200000374345,None,None,None,['left'],[0.6022847490021377],[0.256083000000217],up,1.121727166006167,None,4,0,4,0,0,0,0,0,45.83553199999733,,45.31552374999592,,,,45.315553499996895,None,,,45.320104999998875,45.324765666999156,45.324765666999156,45.787951541999064,up,0.45898200000374345,None,45.830601124995155,0.042627999995602295,46.71503533299983,46.71508562500094,46.74301537499559,47.32845779199852,47.32170183299604,47.32181420800043,0.00011691699910443276,48.75533429200004,48.756781582997064,48.819409957999596,48.819409957999596,48.819409957999596,48.819409957999596,48.819409957999596,48.819409957999596,48.819409957999596,49.94876658299472,"[0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.392, 0.384, 0.376, 0.368, 0.36, 0.352, 0.344, 0.336, 0.328, 0.32, 0.312, 0.304, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216, 0.216]",None,None,['left'],[0.6022847490021377],[0.256083000000217],up,1.121727166006167,None,49.94898816699424,49.95375054199394,50.07831162499497,50.07125279199681,50.07130320799479,50.07831162499497,50.07831162499497,50.578538791996834,50.578538791996834,50.57070316699537,1,1,,,44.90811887499876,44.91252499999973,44.91252499999973,45.31538191699656,0,1,up,0.39695245800248813,None,,,,,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
1,1,0,5,2,curv_comp,195,2.5,0.1,3.0,0.272,flat,flat_curv,-0.2,0.2,-0.1,pen,input_data/stims/Shape_2.50_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,1.0,1,None,,,up,0.45898200000374345,None,None,None,['left'],[0.38806033300352283],[0.26006766699720174],up,0.7688563750052708,None,4,0,4,0,0,1,1,1,50.578538791996834,,,,,,,,,,,,,,,,,50.5711408749994,0.0004314580000936985,51.605611124999996,51.60566229200049,51.63772241699917,52.16201241700037,52.15461016699555,52.154714457996306,0.00010912500147242099,53.48834887499834,53.48976962499728,53.55440145800094,53.55440145800094,53.55440145800094,53.55440145800094,53.55440145800094,53.55440145800094,53.55440145800094,54.332020249996276,"[0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088]",None,None,['left'],[0.38806033300352283],[0.26006766699720174],up,0.7688563750052708,None,54.33223254199402,54.336915832995146,54.462242207999225,54.453665916997124,54.45371241699468,54.462242207999225,54.462242207999225,54.967096957996546,54.967096957996546,54.95391437500075,1,1,,,,,,,,,,,,,,,,,1,C,2026-03-31_19h50.27.610,valence_final_v2,2024.2.4,60,2026-03-31 19h50.38.925750 -0400,
