thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_coin.started,no_resp_text.stopped,three_coin.stopped,feedback.stopped,correct,outcome,three_cross.started,three_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,one_cross.started,one_cross.stopped,one_coin.started,one_coin.stopped,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,4,2,baseline,122,0.3,-0.34,1.0,-0.096,curv,curv_flat,0.0,0.0,-0.34,rew,input_data/stims/Shape_0.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,-1.0,-1,up,0.7302794990027905,None,up,0.6524295830022311,None,None,None,['left'],[0.6510908319978626],[0.14400287500029663],up,0.9808664989977842,None,0,0,0,0,0,0,0,0,2.3308237500023097,,0.6229587500056368,0.8290162500052247,0.8290162500052247,0.8290162500052247,1.5684857910018764,up,0.7302794990027905,None,1.5739277910033707,1.6184778329989058,1.6184778329989058,2.274633625005663,up,0.6524295830022311,None,2.3201477080001496,0.04549162500188686,3.3044355000020005,3.304486500004714,3.347834583000804,3.8654314580053324,3.857792625000002,3.857910250000714,0.00012133299605920911,5.341853000005358,5.343820791000326,5.429082458002085,5.429082458002085,5.429082458002085,5.429082458002085,5.429082458002085,5.429082458002085,5.429082458002085,6.418786583002657,"[-0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.104, -0.112, -0.12, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208, -0.208]",None,None,['left'],[0.6510908319978626],[0.14400287500029663],up,0.9808664989977842,None,6.4190794579990325,6.424557833001018,6.548266791003698,6.541528166002536,6.541585875005694,6.548266791003698,6.548266791003698,7.05515458300215,7.05515458300215,7.051407124999969,1,3,,,,,,,,,,,,,,,,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
1,1,0,4,2,baseline,151,3.1,0.22,1.0,0.132,flat,flat_curv,0.0,0.0,-0.22,pen,input_data/stims/Shape_3.10_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,1,up,0.7302794990027905,None,up,0.6524295830022311,None,None,None,None,,,up,0.7980067910029902,None,0,0,0,0,0,1,1,1,7.05515458300215,,,,,,,,,,,,,,,,,7.05197237500397,0.0005459579988382757,8.086384458001703,8.086430625000503,8.135606374999043,8.649103250005282,8.641288916005578,8.641396958002588,0.0001126669958466664,10.024981166003272,10.026296125004592,10.08360233300482,10.08360233300482,10.08360233300482,10.08360233300482,10.08360233300482,10.08360233300482,10.08360233300482,10.885660750005627,"[0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132]",None,None,None,,,up,0.7980067910029902,None,10.88586587500322,10.890576375000819,11.031548875005683,11.009624458005419,11.026407750003273,11.031548875005683,,11.654686875001062,,11.635295166001015,0,-3,11.031548875005683,11.654686875001062,,,,,,,,,,,,,,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
0,0,0,6,2,flat_comp,200,1.1,-0.18,1.0,0.352,curv,curv_flat,0.2,0.2,-0.18,rew,input_data/stims/Shape_1.10_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,1.0,-1.0,-1,None,,,up,1.3938204160003806,None,None,None,['left'],[0.858383248996688],[0.09198733400262427],up,1.0988843329978408,None,1,0,1,0,0,0,0,0,13.145829666005739,,11.685718125001586,,,,11.68574987500324,None,,,11.689596041003824,11.693766458003665,11.693766458003665,13.091958125005476,up,1.3938204160003806,None,13.1408642910028,0.048884333002206404,14.075098625005921,14.075149083000724,14.115199958003359,14.620831208005256,14.617790083000727,14.61789283300459,0.00010887499956879765,16.00152062500274,16.002887208000175,16.063922833003744,16.063922833003744,16.063922833003744,16.063922833003744,16.063922833003744,16.063922833003744,16.063922833003744,17.169100958002673,"[0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.352, 0.344, 0.336, 0.328, 0.32, 0.312, 0.304, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296]",None,None,['left'],[0.858383248996688],[0.09198733400262427],up,1.0988843329978408,None,17.169341125001665,17.174293125004624,17.29886079100106,17.290802957999404,17.291426666000916,17.29886079100106,,17.798713750002207,,17.791482041000563,0,-1,,,11.651401708004414,11.654686875001062,11.654686875001062,11.685565208004846,0,0,up,0.02721308299805969,None,17.29886079100106,17.798713750002207,,,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
1,1,0,6,2,flat_comp,225,3.3,0.26,1.0,-0.16,flat,flat_curv,0.2,-0.2,-0.26,pen,input_data/stims/Shape_3.30_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,1,None,,,up,1.3938204160003806,None,None,None,['left'],[0.49650833300256636],[0.22707224999612663],up,0.9103424999993877,None,1,0,1,0,0,1,1,1,17.798713750002207,,,,,,,,,,,,,,,,,17.79188850000355,0.00040091700066113845,18.825541333004367,18.825603500001307,18.86457791599969,19.382502125001338,19.374628833000315,19.374737041005574,0.00011441699462011456,20.758332249999512,20.75975391600514,20.81712679100019,20.81712679100019,20.81712679100019,20.81712679100019,20.81712679100019,20.81712679100019,20.81712679100019,21.735762666001392,"[-0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.248, -0.256, -0.264, -0.272, -0.28, -0.288, -0.296, -0.304, -0.312, -0.32, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328]",None,None,['left'],[0.49650833300256636],[0.22707224999612663],up,0.9103424999993877,None,21.735976041003596,21.740628208004637,21.865853291004896,21.857834916001593,21.857882374999463,21.865853291004896,,22.365177208004752,,22.357775625001523,1,1,,,,,,,,,,,,,,21.865853291004896,22.365177208004752,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
0,0,0,5,2,curv_comp,167,0.3,-0.34,3.0,-0.216,curv,flat_curv,-0.2,0.2,0.34,rew,input_data/stims/Shape_0.30_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,-1.0,1.0,-1,None,,,up,0.5857748330017785,None,None,None,['right'],[0.6190858319969266],[0.11606062499777181],up,0.9136502489927807,None,2,0,2,0,0,0,0,0,23.45133479100332,,22.80250687499938,,,,22.802538250005455,None,,,22.805498041001556,22.810934458000702,22.810934458000702,23.40229479100526,up,0.5857748330017785,None,23.446508125001856,0.04419437499745982,24.330684958003985,24.330735000003187,24.35912895799993,24.86578362500586,24.85827537500154,24.858385666004324,0.00011666699720080942,26.34201600000233,26.34343470800377,26.395775875003892,26.395775875003892,26.395775875003892,26.395775875003892,26.395775875003892,26.395775875003892,26.395775875003892,27.319300458002544,"[-0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.216, -0.208, -0.2, -0.192, -0.184, -0.176, -0.168, -0.16, -0.152, -0.144, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136]",None,None,['right'],[0.6190858319969266],[0.11606062499777181],up,0.9136502489927807,None,27.319514750000963,27.32419679099985,27.449060416001885,27.44114970800001,27.441195625004184,27.449060416001885,,27.94926558300358,,27.941278165999393,0,-1,,,22.359548250002263,22.365177208004752,22.365177208004752,22.802367166004842,0,0,up,0.4320956660012598,None,27.449060416001885,27.94926558300358,,,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
1,1,0,5,2,curv_comp,187,1.7,-0.06,1.0,-0.332,flat,flat_curv,-0.2,0.2,0.06,pen,input_data/stims/Shape_1.70_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,-1.0,-1.0,1,None,,,up,0.5857748330017785,None,None,None,['right'],[0.5233268329975544],[0.11133841700211633],up,0.90523695799493,None,2,0,2,0,0,1,1,1,27.94926558300358,,,,,,,,,,,,,,,,,27.941661958000623,0.0003785410008276813,28.92529741600447,28.92535625000164,28.960859582999547,29.471099125003093,29.46810295800242,29.468196791000082,0.00010008399840444326,30.951712250003766,30.952969041005417,31.00832695799909,31.00832695799909,31.00832695799909,31.00832695799909,31.00832695799909,31.00832695799909,31.00832695799909,31.921252125001047,"[-0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.332, -0.324, -0.316, -0.308, -0.3, -0.292, -0.284, -0.276, -0.268, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26, -0.26]",None,None,['right'],[0.5233268329975544],[0.11133841700211633],up,0.90523695799493,None,31.921484041005897,31.92774466600531,32.05511529100477,32.05143674999999,32.05148066599941,32.05511529100477,,32.55676737500471,,32.55137437500525,1,1,,,,,,,,,,,,,,32.05511529100477,32.55676737500471,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
0,0,0,1,1,baseline,32,3.3,0.26,1.0,-0.036,flat,curv_flat,0.0,0.0,0.26,rew,input_data/stims/Shape_3.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,-1.0,1,up,0.8229278750004596,None,up,0.7878889990024618,None,None,None,"['left', 'left', 'right']","[0.40974020800058497, 0.7566600830032257, 1.0090758740043384]","[0.0920380000025034, 0.11998833299730904, 0.2999882500007516]",up,1.4481325410015415,None,3,0,3,0,0,0,0,0,35.33512008300022,,33.64700845799962,33.65613995800231,33.65613995800231,33.65613995800231,34.48558700000285,up,0.8229278750004596,None,34.488562541002466,34.49448154100537,34.49448154100537,35.28609195800527,up,0.7878889990024618,None,35.33012787500047,0.04401708299701568,36.41445587500493,36.41450962499948,36.45431420800014,37.31607429100404,37.30554558300355,37.305724375000864,0.0001952500024344772,38.78951962500287,38.791237541001465,38.87184191599954,38.87184191599954,38.87184191599954,38.87184191599954,38.87184191599954,38.87184191599954,38.87184191599954,40.3272652500018,"[-0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044]",None,None,"['left', 'left', 'right']","[0.40974020800058497, 0.7566600830032257, 1.0090758740043384]","[0.0920380000025034, 0.11998833299730904, 0.2999882500007516]",up,1.4481325410015415,None,40.327565750005306,40.332533958004205,40.455760374999954,40.45165108299989,40.4517127500003,40.455760374999954,40.455760374999954,40.955849625002884,40.955849625002884,40.95223562500178,1,3,,,32.553129874999286,32.55676737500471,32.55676737500471,33.119345625003916,0,0,up,0.5530612910006312,None,,,,,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
1,1,0,1,1,baseline,25,2.5,0.1,1.0,0.264,flat,flat_curv,0.0,0.0,-0.1,rew,input_data/stims/Shape_2.50_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,1,up,0.8229278750004596,None,up,0.7878889990024618,None,None,None,['left'],[0.4732526660009171],[0.46012654199876124],up,1.0710966659971746,None,3,0,3,0,0,1,1,1,40.955849625002884,,,,,,,,,,,,,,,,,40.952716125000734,0.00047649999760324135,42.03703587500058,42.037086750002345,42.07799062500271,42.59916337500181,42.5921287500023,42.59223475000181,0.00011183300375705585,44.07588329099963,44.077300666001975,44.13027875000262,44.13027875000262,44.13027875000262,44.13027875000262,44.13027875000262,44.13027875000262,44.13027875000262,45.20490950000385,"[0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048]",None,None,['left'],[0.4732526660009171],[0.46012654199876124],up,1.0710966659971746,None,45.20513704100449,45.21009037500335,45.33220766600425,45.325208750000456,45.32525520800118,45.33220766600425,45.33220766600425,45.85062070799904,45.85062070799904,45.82789608299936,1,3,,,,,,,,,,,,,,,,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
0,0,0,2,1,curv_comp,59,0.9,-0.22,1.0,0.308,curv,flat_curv,-0.2,0.2,0.22,pen,input_data/stims/Shape_0.90_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,-1,None,,,up,0.4517776659995434,None,None,None,['right'],[0.623151831998257],[0.08398574999591801],up,0.8512151659961091,None,4,0,4,0,0,0,0,0,46.7585963330057,,46.236517707999155,,,,46.236558125005104,None,,,46.24119112500193,46.24588020800002,46.24588020800002,46.702754666002875,up,0.4517776659995434,None,46.753620916002546,0.050846666999859735,47.688078125000175,47.68813904100534,47.72347808300401,48.3049454580032,48.30183145800402,48.30193408299965,0.00010912500147242099,49.63560508299997,49.6369171250044,49.69363379100105,49.69363379100105,49.69363379100105,49.69363379100105,49.69363379100105,49.69363379100105,49.69363379100105,50.55494600000384,"[0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.316, 0.324, 0.332, 0.34, 0.348, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356, 0.356]",None,None,['right'],[0.623151831998257],[0.08398574999591801],up,0.8512151659961091,None,50.55517920800048,50.560582416001125,50.70602241600136,50.70227716600493,50.70231983299891,50.70602241600136,,51.20541820800281,,51.20212862500193,1,1,,,45.846770125004696,45.85062070799904,45.85062070799904,46.23634975000459,6,0,up,0.380788123999082,None,,,50.70602241600136,51.20541820800281,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
1,1,0,2,1,curv_comp,52,0.7,-0.26,3.0,0.072,curv,curv_flat,-0.2,-0.2,-0.26,pen,input_data/stims/Shape_0.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,-1,None,,,up,0.4517776659995434,None,None,None,['left'],[0.4589317909994861],[0.43591216699860524],up,1.0876857490002294,None,4,0,4,0,0,1,1,1,51.20541820800281,,,,,,,,,,,,,,,,,51.20249329099897,0.0003587079991120845,52.13604729100189,52.13610591600445,52.171561375005695,52.7378566250045,52.73485775000154,52.73495141600142,9.945899364538491e-05,54.16865366600541,54.17001708300086,54.2330633330057,54.2330633330057,54.2330633330057,54.2330633330057,54.2330633330057,54.2330633330057,54.2330633330057,55.32733300000109,"[0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.08, -0.088, -0.096, -0.104, -0.112, -0.12, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.248, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256]",None,None,['left'],[0.4589317909994861],[0.43591216699860524],up,1.0876857490002294,None,55.32755554100004,55.33257099999901,55.45608662500308,55.452334708003036,55.4523780830059,55.45608662500308,,55.96589679099998,,55.952311790999374,1,1,,,,,,,,,,,,,,55.45608662500308,55.96589679099998,,1,D,2026-03-31_19h51.45.907,valence_final_v2,2024.2.4,60,2026-03-31 19h51.55.692771 -0400,
